9,Emmery,Rashaant,951443.57
24,Francklin,Maodao,323051.22
28,Queenie,Krajan Tegalombo,223021.7
48,Mikel,Saint Petersburg,762811.21
50,Shandee,Krajan Suko Kidul,896249.41
63,Astrid,Bascaron,463136.81
64,Anabella,Nam Kliang,892824.27
65,Vere,Juntas,974147.68
66,Doug,Lete,468718.26
71,Carleton,Chalon-sur-Saône,302936.85
78,Lauree,Butungan,330368.72
98,Concettina,Xieshui,805345.44
112,Tamar,Flores da Cunha,649975.68
125,Clara,Lâm Thao,120194.63
126,Aristotle,Bejuco,970921.16
127,Sybille,Yuantan,703213.09
128,Betteann,Ampera,307111.85
129,Melloney,Damiku,529590.8
142,Janot,Santa Cruz,82737.22
144,Grace,Jinhaihu,436534.18
148,Julietta,Santo André,409285.79
164,Jefferey,Hengli,866353.38
193,Ninnetta,Póvoa,743700.83
196,Gram,Sepulu,904043.68
217,Barrie,Donggaohuang,644618.85
231,Beret,Villa Gesell,346711.18
245,Trumann,Bontoc,339500.97
257,Bryanty,Båstad,204584.37
260,Bran,Badai,780956.61
299,Berna,Melun,685632.8
311,Lazare,Nganane,209046.68
331,Marijn,Kaingiwa,693909.73
341,Orsa,Xinzhai,412400.21
347,Husain,Sembabule,745137.18
349,Mag,Cartagena,455749.64
365,Adolpho,Rosmalen,17607.62
387,Anabal,Neochóri,296313
418,Berni,Łużna,392937.42
424,Willy,Kotadukuh,647147.99
436,Juliane,Gempolan Wetan,526242.37
437,Henriette,Soledade,561670.06
455,Colly,Valka,541592.85
461,Jeremias,Mata de São João,243713.02
473,Rene,Sudimanik,322586.49
482,Kennedy,Ulashan,171959.75
483,Adela,Qila Abdullāh,269984.7
488,Ward,Aheloy,218964.78
510,Tate,Liangshuijing,128756.02
511,Lissi,Toledo,781313.05
519,Carolan,Nghi Xuân,607825.34
532,Matthiew,Saint Paul,243203.86
548,Dalston,Hyesan-dong,369946.74
574,Sonnnie,Foundiougne,638534.98
592,Sherry,Kíti,726759.89
620,Hans,Kirkop,641757.37
626,Annadiane,Belos Ares,859262.92
627,Gus,Growong Kidul,766161.85
642,Skell,Solčava,524040.05
643,Marys,Yushu,910125.41
644,Ellary,Tiwi,95581.62
654,Brendis,Sremčica,44726.77
665,Rosina,Topol’noye,560232.05
741,Adrienne,Pampa de los Guanacos,501418.13
748,Cthrine,Manchester,355497.63
754,Meggy,Annecy,485514.92
761,Yulma,Krajan Timur Mlokorejo,256026.79
787,Tally,Shanghu,777062.12
788,Swen,Västerås,432251.26
792,Lammond,Oslo,155049.57
798,Peggy,Jomsom,267179.87
797,Thayne,Solntsevo,773181.13
799,Rodolphe,Wangchuanchang,220203.36
800,Talya,Sampaio,552012.96
813,Carver,Gersikputih Tengah,43712.94
856,Modesty,Wissembourg,399547.3
862,Tymothy,Babakankiray,242783.39
873,Francine,Sakai-nakajima,552206.18
874,Miguela,West Palm Beach,438128.64
876,Pail,Adolfo Ruiz Cortines,985701.87
884,Ashla,Kutao,855478.13
885,Humfried,Apatin,138105.52
886,Jorge,Wete,500388.14
888,Roseline,Tournai,592690.05
891,Juanita,Novyy,355601.91
917,Leanor,Chichibu,355431.85
924,Thaine,Longmiao,416650.46
931,Griffie,Khosta,689154.06
947,Dalila,Qandala,561167.68
948,Marylin,Carlos Casares,331656.41
952,Mariette,Parobé,115748.33
954,Ibrahim,Ełk,645668.41
955,Mauricio,Sakassou,136978.54
993,Angelia,Kargowa,682232.75
997,Gav,Ágios Vasíleios,186042.25
1003,Ryley,Karukh,313197
1016,Forrester,Shinshiro,502979.26
1028,Kienan,Philadelphia,409232.46
1029,Boot,Karangnunggal,822640.44
1035,Chloette,Pirca,67822.6
